,Unnamed: 0,유투버,월,연도,평균 조회수,평균 영상 좋아요 수,영상개수,구독자,구독자 성장율,감성점수,평균_영상간격,null_지속,충성시청자_비율,구독자점수,조회수점수,충성도점수
0,0,@Mingokim,8,2022,,,0,1240.0,1.008130081300813,,,13,,3.0,0.0,0.0
1,1,@Mingokim,9,2022,,,0,1240.0,1.0,,,14,,3.0,0.0,0.0
2,2,@Mingokim,10,2022,,,0,1240.0,1.0,,,15,,3.0,0.0,0.0
3,3,@Mingokim,11,2022,,,0,1240.0,1.0,,,16,,3.0,0.0,0.0
4,4,@Mingokim,12,2022,,,0,1230.0,0.9919354838709676,,,17,,3.0,0.0,0.0
5,5,@Mingokim,1,2023,,,0,1230.0,1.0,,,18,,3.0,0.0,0.0
6,6,@Mingokim,2,2023,,,0,1230.0,1.0,,,19,,3.0,0.0,0.0
7,7,@Mingokim,3,2023,,,0,1240.0,1.008130081300813,,,20,,3.0,0.0,0.0
8,8,@Mingokim,4,2023,,,0,1240.0,1.0,,,21,,3.0,0.0,0.0
9,9,@Mingokim,5,2023,1444.0,31.0,1,1230.0,0.9919354838709676,0.7212391495704651,,22,0.0,3.0,3.0,2.0
10,10,@Mingokim,6,2023,,,0,1200.0,0.975609756097561,,,23,,3.0,0.0,0.0
11,11,@Mingokim,7,2023,,,0,1200.0,1.0,,,24,,3.0,0.0,0.0
12,12,@Mingokim,8,2023,,,0,1210.0,1.0083333333333333,,,25,,3.0,0.0,0.0
13,13,@yekooooong,8,2022,6035.333333333333,120.3333333333333,3,35700.0,1.002808988764045,0.58452064055821,10.0,0,0.1612903225806451,6.0,6.0,8.0
14,14,@yekooooong,9,2022,11492.0,160.0,1,35800.0,1.0028011204481793,0.7359990488599848,,1,0.0,6.0,9.0,2.0
15,15,@yekooooong,10,2022,,,0,35900.0,1.0027932960893855,,,2,,6.0,0.0,0.0
16,16,@yekooooong,11,2022,,,0,35900.0,1.0,,,3,,6.0,0.0,0.0
17,17,@yekooooong,12,2022,,,0,35900.0,1.0,,,4,,6.0,0.0,0.0
18,18,@yekooooong,1,2023,7347.0,142.5,2,35900.0,1.0,0.4383389105399449,18.0,0,0.0869565217391304,6.0,9.0,4.0
19,19,@yekooooong,2,2023,4712.666666666667,78.66666666666667,3,35900.0,1.0,0.7602665435384821,8.5,0,0.0980392156862745,6.0,6.0,4.0
20,20,@yekooooong,3,2023,3798.5,82.5,2,35900.0,1.0,0.6134191408753396,11.0,0,0.1333333333333333,6.0,6.0,6.0
21,21,@yekooooong,4,2023,7727.5,216.5,2,35900.0,1.0,0.5792221746793608,6.0,0,0.1363636363636363,6.0,9.0,6.0
22,22,@yekooooong,5,2023,12351.0,222.5,2,36200.0,1.0083565459610029,0.6528658519868982,7.0,0,0.1142857142857142,6.0,9.0,6.0
23,23,@yekooooong,6,2023,19637.75,230.5,4,36500.0,1.0082872928176796,0.5200238808736963,9.0,0,0.1451612903225806,6.0,12.0,6.0
24,24,@yekooooong,7,2023,4605.5,99.5,2,37600.0,1.03013698630137,0.5505839704749096,12.0,0,0.1481481481481481,9.0,6.0,6.0
25,25,@yekooooong,8,2023,5818.0,107.5,6,39300.0,1.0452127659574468,0.7622785889634899,5.8,0,0.1538461538461538,9.0,6.0,6.0
26,26,benny8282_nail,8,2022,2412.0,70.0,2,70500.0,1.0028449502133712,0.6625267321413214,15.0,0,0.0,9.0,3.0,2.0
