Unnamed: 0,유투버,월,댓글 수,영상 수,감성점수
0,@Mingokim,2022/08,0.0,0.0,
1,@Mingokim,2022/09,0.0,0.0,
2,@Mingokim,2022/10,0.0,0.0,
3,@Mingokim,2022/11,0.0,0.0,
4,@Mingokim,2022/12,0.0,0.0,
5,@Mingokim,2023/01,0.0,0.0,
6,@Mingokim,2023/02,0.0,0.0,
7,@Mingokim,2023/03,0.0,0.0,
8,@Mingokim,2023/04,0.0,0.0,
9,@Mingokim,2023/05,8.0,1.0,0.6573369055986404
10,@Mingokim,2023/06,0.0,0.0,
11,@Mingokim,2023/07,0.0,0.0,
12,@Mingokim,2023/08,0.0,0.0,
13,@yekooooong,2022/08,30.0,3.0,0.715241125431554
14,@yekooooong,2022/09,17.0,1.0,0.764200903751232
15,@yekooooong,2022/10,0.0,0.0,
16,@yekooooong,2022/11,0.0,0.0,
17,@yekooooong,2022/12,0.0,0.0,
18,@yekooooong,2023/01,24.0,2.0,0.6401496587528123
19,@yekooooong,2023/02,59.0,3.0,0.7655208846669138
20,@yekooooong,2023/03,16.0,2.0,0.6261742010712623
21,@yekooooong,2023/04,26.0,2.0,0.7754619419574738
22,@yekooooong,2023/05,38.0,2.0,0.8287456382627356
23,@yekooooong,2023/06,68.0,4.0,0.5580358391596099
24,@yekooooong,2023/07,30.0,2.0,0.8006525010947722
25,@yekooooong,2023/08,124.0,6.0,0.7323114068484774
26,benny8282_nail,2022/08,7.0,2.0,0.7073605087670413
27,benny8282_nail,2022/09,8.0,3.0,0.7668477863073349
28,benny8282_nail,2022/10,5.0,3.0,0.7836260729365878
29,benny8282_nail,2022/11,1.0,1.0,0.7210730314254761
30,benny8282_nail,2022/12,2.0,1.0,0.6913421601057053
31,benny8282_nail,2023/01,0.0,1.0,
32,benny8282_nail,2023/02,2.0,1.0,0.6373969117800394
33,benny8282_nail,2023/03,2.0,1.0,0.2913726270198822
34,benny8282_nail,2023/04,8.0,2.0,0.7391315075484189
35,benny8282_nail,2023/05,14.0,3.0,0.6937692901667427
36,benny8282_nail,2023/06,3.0,1.0,0.9253220319747925
37,benny8282_nail,2023/07,4.0,1.0,0.7127773016691208
38,benny8282_nail,2023/08,2.0,1.0,0.5513392388820648
39,bird 정은,2022/08,0.0,0.0,
40,bird 정은,2022/09,301.0,5.0,0.8689013710550457
41,bird 정은,2022/10,58.0,3.0,0.8175001382827759
42,bird 정은,2022/11,76.0,5.0,0.7825605000429485
43,bird 정은,2022/12,20.0,1.0,0.8739448656638463
44,bird 정은,2023/01,15.0,1.0,0.8144422946152864
45,bird 정은,2023/02,17.0,1.0,0.6336951041594148
46,bird 정은,2023/03,37.0,1.0,0.7729507264765826
47,bird 정은,2023/04,33.0,2.0,0.7802949600359973
48,bird 정은,2023/05,31.0,3.0,0.6997867021467779
49,bird 정은,2023/06,0.0,0.0,
50,bird 정은,2023/07,13.0,1.0,0.722689073194157
51,bird 정은,2023/08,11.0,1.0,0.7908038509928662
52,Coco Riley,2022/08,0.0,0.0,
53,Coco Riley,2022/09,0.0,0.0,
54,Coco Riley,2022/10,40.0,3.0,0.7253865391398088
55,Coco Riley,2022/11,0.0,0.0,
56,Coco Riley,2022/12,0.0,0.0,
57,Coco Riley,2023/01,82.0,4.0,0.798509306089105
58,Coco Riley,2023/02,54.0,4.0,0.8352955974400316
59,Coco Riley,2023/03,51.0,4.0,0.8281417404197984
60,Coco Riley,2023/04,74.0,2.0,0.853621050943293
61,Coco Riley,2023/05,75.0,4.0,0.8599922319754165
62,Coco Riley,2023/06,55.0,4.0,0.8310782491814258
63,Coco Riley,2023/07,85.0,5.0,0.7890665012710499
64,Coco Riley,2023/08,55.0,4.0,0.8125031919855821
65,COLIZET콜리젯TV,2022/08,32.0,3.0,0.8161149608327988
66,COLIZET콜리젯TV,2022/09,57.0,3.0,0.6984165066853165
67,COLIZET콜리젯TV,2022/10,179.0,3.0,0.7346794462102091
68,COLIZET콜리젯TV,2022/11,180.0,6.0,0.7441202512268577
69,COLIZET콜리젯TV,2022/12,167.0,6.0,0.6235697887600943
