,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
41,천재강아지의 터그놀이 교육시간 |강아지  브이로그,https://www.youtube.com/watch?v=1bxJ4jPvHwA,146,2022-01-11,0:03:20,
42,"강아지 기초 교육 따라하기, 손교육 하기 |강아지 브이로그",https://www.youtube.com/watch?v=rVnDx17S4zw,167,2022-01-07,0:04:18,
43,거울속의 너! 누구냐? 거울을 본 강아지| 강아지 브이로그. A puppy who saw a mirror for the first time.,https://www.youtube.com/watch?v=zkk2UfovCBY,163,2022-01-05,0:04:29,
44,강아지 2차 예방접종 후기. 주사맞고 쓰러졌어요.ㅠㅠ 입양 4일째|강아지 브이로그,https://www.youtube.com/watch?v=DdGBRAyawDw,230,2022-01-04,0:04:32,
45,토이실버푸들 강아지 입양 3일차 |적응완료|노즈워크|강아지 입양 브이로그,https://www.youtube.com/watch?v=e3CjQMhVkPs,219,2022-01-03,0:06:15,
46,영포자에서 유학2년~ 영어실력은?,https://www.youtube.com/watch?v=MZc-1iVBOpY,2188,2022-01-02,0:07:49,
47,"토이실버푸들, 생후 2개월,  D~2일 집에온지 | 강아지 분양 브이로그",https://www.youtube.com/watch?v=8CTrZe-4MpA,234,2022-01-01,0:02:16,
48,[토이실버푸들]강아지를 입양 했어요!!|강아지 입양 분양 브이로그,https://www.youtube.com/watch?v=ALdXGSqBS7k,2125,2021-12-30,0:04:00,
49,폴킴- 모든날 모든순간 covered by 이송현|TJB라디오 해피투게더 출연본,https://www.youtube.com/watch?v=Ea7pBLh2YPM,373,2021-12-28,0:03:26,
50,"해피투게더 TJB 라디오, 이송현 생방송 3.4부 1시간 출연.",https://www.youtube.com/watch?v=kgTg7I0Ge48,902,2021-12-24,0:31:42,
51,"제주 맛집추천 /제주도민이 추천하는 중식요리 전문 서귀포맛집, 중문단지 맛집 론푸드차이나",https://www.youtube.com/watch?v=Z7fyVavQb1I,443,2021-12-20,0:04:42,
52,전소미 덤덤 안무 커버댄스 /고등학생 댄스 커버,https://www.youtube.com/watch?v=aQ6lMzJVSII,681,2021-12-16,0:01:06,
53,전소미 덤덤안무 댄스 커버 / 18살 이 추는 kpop dance,https://www.youtube.com/watch?v=MxkuZFTfBf8,680,2021-12-15,0:01:07,
54,12월 제주 겨울 바다,https://www.youtube.com/watch?v=FH231Eer0nc,58,2021-12-14,0:02:14,
55,부모교육/자녀와 소통 잘 하는방법 자녀교육#3 /친구같은 엄마되기,https://www.youtube.com/watch?v=kxdgXP0780c,275,2021-12-09,0:04:35,
56,"이하이-1,2,3,4 커버|covered by 이송현|내일은 국민가수 출연자",https://www.youtube.com/watch?v=TtkKaWCeijE,581,2021-12-07,0:01:26,
57,"부모 교육 /행복한 자녀, 자존감 올리는 방법#2/제시 심리 수다방",https://www.youtube.com/watch?v=sxQNYVYSDV0,176,2021-12-03,0:04:29,
58,이하이 손잡아줘요 - 무반주cover|이송현|국민가수 출연자|covered by 이송현,https://www.youtube.com/watch?v=4UB4GTjUAaE,272,2021-12-01,0:01:18,
59,사춘기 자녀 교육. 자녀와 소통방법 #1/제시 심리 수다방/자녀와 대화 방법/우리아이가 달라졌어요/부모교육,https://www.youtube.com/watch?v=rL24qGYwOeA,193,2021-11-28,0:05:04,
60,"백내장수술 백일  리얼 후기 #2 / 다초점렌즈삽입 / 백내장수술 장단점/백내장수술 후 관리,휴유증",https://www.youtube.com/watch?v=YPO-MLtKfrk,2210,2021-11-28,0:08:06,
61,송현아씨 제주말 타기,https://www.youtube.com/watch?v=D1pEpsJMKxg,195,2021-11-28,0:01:49,
62,국제고 준비 공부 브이로그vlog feat.국제고 지망생 필수시청!!#꿀튜브 #야나두,https://www.youtube.com/watch?v=dLGyKWi5d1c,300,2021-11-25,0:03:37,
63,[내일은국민가수 고등부]이송현 노래 -인디안 인형처럼#내일은국민가수 TV CHOSUN,https://www.youtube.com/watch?v=lrDe5MEzD_w,2565,2021-11-16,0:02:18,
64,영어로만 말하는 브이로그/제주도 통갈치 맛집,https://www.youtube.com/watch?v=bqWBD3fYg6Y,121,2021-11-14,0:03:10,
65,💸초보 유튜버도 돈버는방법💸진짜간단한데 여러분에게만 알려드릴께요,https://www.youtube.com/watch?v=wfh4D9rki6Y,95177,2021-11-11,0:03:13,
66,Z플립3 핑크!! 뒤늦게올리는 언박싱 영상🤩,https://www.youtube.com/watch?v=xwCWICf_mY8,1331,2021-11-04,0:04:24,
67,제주타운하우스 랜선 집들이 feat.이효리 이웃집,https://www.youtube.com/watch?v=khkjzg8Knvs,755,2021-09-29,0:05:55,
68,내일은 국민가수  예선 참가자  신상공개 TV조선 출연자 소개,https://www.youtube.com/watch?v=Hs751slxuWk,725,2021-09-26,0:03:00,
69,제주해안도로 드라이브 | 애월 바다 뷰|제주 브이로그,https://www.youtube.com/watch?v=bivZ3aBaPt0,71,2021-09-22,0:02:44,
