,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,이번엔 110만원어치 화장품을 쓸어담아 오려고 했으나...(다이아TV 뷰티 리워드존) | 윤쨔미TV,https://www.youtube.com/watch?v=adsxRx8TO-Y,1736887,2017-06-01,0:10:02,
1,"설현머리가 하고 싶어 구매한 ""앞머리 없는 가발"" 그러나 현실은...가발 2개 개봉 리뷰! | 윤쨔미TV",https://www.youtube.com/watch?v=H11LihsT-EM,431154,2017-05-23,0:08:54,
2,생일선물 같이 뜯어요! 🎁 택배로 도착한 생일선물들 개봉 리뷰!! 💝 | 윤쨔미TV,https://www.youtube.com/watch?v=Jdl3yX-6Gco,566467,2017-05-08,0:10:46,
3,내맘대로 120만원어치 화장품 쓸어 담아 왔다! ( 다이아 TV 뷰티 리워드존 ) | 윤쨔미TV,https://www.youtube.com/watch?v=c3FnVNDmuyM,677362,2017-04-28,0:08:33,
4,클레이로 쉽고 간단하게 예쁜 롤리팝 연필 만들기 feat.마오 | 윤쨔미TV,https://www.youtube.com/watch?v=e7WB_0VT8Kg,76430,2017-04-25,0:05:17,
5,"[윤쨔미X에이프릴(채원,진솔)] 아이돌과 툰토이로 서로 그려주고 벌칙으로 충격적인 멘토스 콜라 뿜기 게임! | 윤쨔미TV",https://www.youtube.com/watch?v=R1HltxQucbk,569846,2016-11-17,0:14:31,
6,7년간 아이폰만 쓴 윤쨔미가 배신을!! 갤럭시로 바꾸고 한달간 사용 해본 솔직후기~ | 윤쨔미TV,https://www.youtube.com/watch?v=FRPb4dSj7PU,678571,2016-11-14,0:05:00,
7,탕!탕! 총쏘기 도전!! 사격신동 윤쨔미? 몰랐던 재능 발견의 현장속으로 ㅋㅋ | 윤쨔미TV,https://www.youtube.com/watch?v=oCt_P2bbSKs,74470,2016-10-21,0:06:04,
8,요즘 대세! 아키네이터가 윤쨔미를 알고 있을까? 과연 결과는? | 윤쨔미TV,https://www.youtube.com/watch?v=tjBGJc2WQcQ,640256,2016-10-17,0:06:13,
9,27000원짜리 LED 조명 달린 셀카봉으로 셀카를 찍어 보았다 | 윤쨔미TV,https://www.youtube.com/watch?v=fEknXr3jfGA,249412,2016-09-23,0:08:07,
10,카카오 프렌즈 접어만들기 같이 해보아요~♥ 가격도 착하고 꿀잼!  | 윤쨔미TV,https://www.youtube.com/watch?v=Vvt6jYWeqWo,417157,2016-09-20,0:10:04,
11,"크리에이터 사냥꾼 윤쨔미의 크리에이터 습격기! Feat. 안재억, 섭이, 국가비, 영국남자, 씬님, 박PD, 도티크루, 유준호, 억섭호, 버블디아, 최고기, 행오바 | 윤쨔미TV",https://www.youtube.com/watch?v=4-q_E7Psojc,143346,2016-09-16,0:09:08,
12,라이언 아쿠아볼 네일아트 받고 왔던 날~ | 윤쨔미TV,https://www.youtube.com/watch?v=8EioAT60op4,596473,2016-09-14,0:05:10,
13,꿀잼!! 웃음보장 스노우 카메라로 1인19역 하고 놀아 보았다 | 윤쨔미TV,https://www.youtube.com/watch?v=YAM32O04SBQ,1165686,2016-08-03,0:03:19,
14,붙임머리 리터치 받고 왔어요! | 윤쨔미TV,https://www.youtube.com/watch?v=OSfkERPzxm0,1164789,2016-08-01,0:05:45,
15,거대 플라밍고 튜브를 혼자서 불어 보았다 | 윤쨔미TV,https://www.youtube.com/watch?v=fq2UpQWaT2k,314990,2016-07-22,0:05:56,
16,구데타마 반숙 네일을 해 보았다 | 윤쨔미TV,https://www.youtube.com/watch?v=f0YxHXnc4bs,532597,2016-07-19,0:05:54,
17,[윤쨔미 에디션] 발매 기념 런칭파티 현장 스케치 ! 구독자님들과 함께 했어요~♥ | 윤쨔미TV,https://www.youtube.com/watch?v=UWEc0QUhK8w,96633,2016-06-30,0:04:48,
18,[마오TV] 개성만점 퍼그 마오의 좌충우돌 성장일기 Pug Mao Diary | 윤쨔미TV,https://www.youtube.com/watch?v=zevsxkjYWHc,297867,2016-06-24,0:04:58,
19,몬치치 대가족 소개! 다함께 가족사진 찍던 날 | 윤쨔미TV,https://www.youtube.com/watch?v=RhieBVhnPtA,221639,2016-06-20,0:04:09,
20,실전! 내맘대로 칼로리폭탄 팥빙수 만들기! 젤리가 돌이 되어버린 사연.. ㅠㅠ | 윤쨔미TV,https://www.youtube.com/watch?v=GcYerSqlKf0,653247,2016-06-17,0:07:07,
21,헬로키티 빙수기로 얼음을 갈아보았지만... | 윤쨔미TV,https://www.youtube.com/watch?v=lSmhmOr3tbU,310784,2016-06-14,0:06:13,
22,가오나시 인형뽑기 도전! | 윤쨔미TV,https://www.youtube.com/watch?v=dfFHBdJUNFI,500912,2016-06-10,0:05:25,
