,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
33,"사실 고민하는건, 스텝으로 다시 해야된다는 거잖아요?ㅣ청담동네미용실 ep.34",https://www.youtube.com/watch?v=e45nwa4NHVo,4822,2021-09-06,0:14:49,
34,"어느 샵에서 어느 스텝들이 원장님한테 이래? | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.7",https://www.youtube.com/watch?v=GgZ9dpYP5kA,1360,2021-08-31,0:08:02,
35,중증장애를 가진 미용사가 살아남는 방법ㅣ쌀롱토크 ep.24 1부,https://www.youtube.com/watch?v=EVcY61Sgpds,1041,2021-08-30,0:06:49,
36,모든 미용 스텝들이 똑같이 고민하는 그 것ㅣ청담동네미용실 ep.33 2부!,https://www.youtube.com/watch?v=N03b-rLdz-E,3070,2021-08-23,0:08:40,
37,"미용스텝에게 칼퇴는? (미용교육,샵 정리) | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.6",https://www.youtube.com/watch?v=MadiQAMOM7w,1333,2021-08-17,0:08:12,
38,돌덩이처럼 무거운 몸도 가볍게 만들어줄 미용 앞치마ㅣ쌀롱토크 ep.23 2부,https://www.youtube.com/watch?v=nBKHnVjvIYg,3431,2021-08-16,0:11:31,
39,우리 샵 말고 다른 샵 분위기가 궁금해요ㅣ청담동네미용실 ep.33 1부!,https://www.youtube.com/watch?v=mH0idY1v4fA,3501,2021-08-09,0:09:03,
40,"코시국 최전선의 간호사분들 힐링 시켜드리자 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.5",https://www.youtube.com/watch?v=b9aMaClyS5M,566,2021-08-03,0:06:39,
41,여름 헤어 스타일링 고민돼? 보자마자 미용실로 달려가게 될거야ㅣ쌀롱토크 ep.23 1부,https://www.youtube.com/watch?v=axVioGrob6U,2176,2021-08-02,0:10:35,
42,며칠을 상담했는데.. 안 왔어요ㅣ청담동네미용실 ep.32,https://www.youtube.com/watch?v=2ecKVFBJgVQ,2023,2021-07-26,0:11:26,
43,"원장님 자꾸 어디로 도망가세요..? | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.4",https://www.youtube.com/watch?v=tPERt3do590,608,2021-07-20,0:12:40,
44,어느 날 찍은 브이로그에 인생이 바뀐 남자ㅣ쌀롱토크 ep.22 3부,https://www.youtube.com/watch?v=gkwjpK2hnxc,2098,2021-07-19,0:09:18,
45,헤어 디자이너의 카트는 다 비슷할까?ㅣ청담동네미용실 ep.31,https://www.youtube.com/watch?v=u8oxmh3_2U0,3203,2021-07-12,0:12:44,
46,제 성공이 배 아프다면 노력하지 않는 거예요ㅣ쌀롱토크 ep.22 2부,https://www.youtube.com/watch?v=dOdNrb1FtME,4154,2021-07-05,0:10:54,
47,"게임회사 7년, 스타일을 잃어버렸다 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.3",https://www.youtube.com/watch?v=GV-R7wWH5yo,703,2021-07-02,0:11:39,
48,내가 교육의 수렁에 빠진 것 같다면ㅣ청담동네미용실 X 피트강 ep.30 2부,https://www.youtube.com/watch?v=l6LGZqorMaA,2047,2021-06-28,0:11:42,
49,3년째 판자촌으로 출퇴근하는 헤어 디자이너ㅣ쌀롱토크 ep.22 1부,https://www.youtube.com/watch?v=XHR-RZbk2_8,2328,2021-06-21,0:08:20,
50,"출근하면 100% 불려간다. 핑크머리 승무원 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.2",https://www.youtube.com/watch?v=heY-KI42mAw,982,2021-06-18,0:12:25,
51,청담동네 0.1프로 교육자들의 컷트 철학ㅣ청담동네미용실 X 피트강 ep.30 1부,https://www.youtube.com/watch?v=H6fb_v0VzcM,2815,2021-06-14,0:10:17,
52,막연한 생각으로 살아남기만 해서는 안 되는 이유ㅣ쌀롱토크 ep.21 2부,https://www.youtube.com/watch?v=FRMpiubDC9o,1548,2021-06-07,0:12:49,
53,"새벽 출근 밤 퇴근, 관리가 불가능한 삶 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.1",https://www.youtube.com/watch?v=UU3ZzuZX2RY,896,2021-06-04,0:08:51,
54,아무한테나 주는 의자가 아니야ㅣ청담동네미용실 ep.29,https://www.youtube.com/watch?v=PH9VFxs3SgE,1838,2021-05-31,0:11:26,
55,38세 청담 미용 인턴으로 시작해 디자이너 6개월 만에 강남 하이퍼포머ㅣ쌀롱토크 ep.21 1부,https://www.youtube.com/watch?v=BkFjCMCdacU,27277,2021-05-24,0:14:39,
56,"당신에게 맞는 스타일을 찾아드립니다 | 일상에 지친 그대에게 선물하는 피로회복제, 남카스 EP.0",https://www.youtube.com/watch?v=Dl3AQWyaxC4,1775,2021-05-21,0:07:02,
57,미용 스텝들은 어떤 고민을 할까?ㅣ청담동네미용실 ep.28,https://www.youtube.com/watch?v=qkvG8jpHfr4,9362,2021-05-17,0:10:58,
58,딸이 아빠와 제일 하고 싶은 것ㅣ쌀롱토크 ep.20 가정의 달 특별편,https://www.youtube.com/watch?v=86Ud2nddgDU,1492,2021-05-10,0:15:08,
59,메타인지가 무엇인지...?ㅣ청담동네미용실 ep.27,https://www.youtube.com/watch?v=yjUzFWyNXN4,1158,2021-05-03,0:10:45,
60,몇천만원을 써도 아깝지 않은 경험을 하는게 중요하다고 생각해요ㅣ쌀롱토크 ep.19 2부,https://www.youtube.com/watch?v=j6NXLySxHQQ,590,2021-04-26,0:09:17,
61,"여러분, 셀카는 혼자 찍는게 아닙니다.ㅣ청담동네미용실 ep.26",https://www.youtube.com/watch?v=3q82MBBTZhk,4178,2021-04-19,0:08:47,
62,직업은 취미를 갖기 위한 수단이라고 생각해요ㅣ쌀롱토크 ep.19 1부,https://www.youtube.com/watch?v=EYttdkHBCdc,981,2021-04-12,0:11:59,
63,진로Q&A) 40대에 미용을 시작한다고여?!?!ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어',https://www.youtube.com/watch?v=T9C0WSqn8UI,8049,2021-04-08,0:05:02,
64,어제보다 오늘 머리를 못 할리가 없는데..?ㅣ청담동네미용실 ep.25,https://www.youtube.com/watch?v=TOOifXbCV14,1834,2021-04-05,0:11:40,
65,진로Q&A) 서울에서 미용하려면 대학교 간판이 어때야 하냐고?ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어',https://www.youtube.com/watch?v=jDXsFy8Run4,713,2021-04-01,0:03:39,
66,[KR/EN]이쪽 분야가 아닌 분들은 많이들 궁금해하시는 거 같아요ㅣ쌀롱토크 ep.18 2부,https://www.youtube.com/watch?v=k1SkY6i-aVc,2352,2021-03-29,0:14:30,
67,"헤어Q&A) 세럼, 오일, 에센스..? 뭐가 다른데? ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어'",https://www.youtube.com/watch?v=uRqXrE8W-YE,212,2021-03-25,0:02:36,
68,앞머리 자르기? 일단 저질렀습니다. (어울리는 앞머리 스타일 찾기) ㅣ청담동네미용실 ep.24,https://www.youtube.com/watch?v=oVllu7_Ozf0,1257,2021-03-22,0:13:44,
69,헤어Q&A)머리에 냄새가..? 어떤 종류의 샴푸를 써야할까요? ㅣ김활란뮤제네프 김주희원장님의 '질문하고대답헤어',https://www.youtube.com/watch?v=1knCsX8qu38,2904,2021-03-18,0:02:42,
70,[KR/EN]청담으로 들어오는 건 어렵지 않아요... 독립이 어렵지!ㅣ쌀롱토크 ep.18,https://www.youtube.com/watch?v=-Xu282KEP-s,3326,2021-03-15,0:11:05,
71,스타일링Q&A)동글동글 얼굴형에 투블럭??!! ㅣ김활란뮤제네프 김주희원장님의 질문하고대답헤어,https://www.youtube.com/watch?v=KUURESFBHk0,453,2021-03-11,0:02:36,
72,제대로 된 헤어 디자이너라면 갖춰야 하는 것! ㅣ청담동네미용실 ep.23,https://www.youtube.com/watch?v=iW37rEdX-JA,4175,2021-03-08,0:14:25,
73,스타일링Q&A)턱이 긴 얼굴형도 단발 할 수 있을까요?? ver.2!! 이번에는 턱을 그냥.. ㅣ김활란뮤제네프 김주희원장님의 질문하고대답헤어,https://www.youtube.com/watch?v=0B1nt6MsaU4,3367,2021-03-04,0:02:04,
74,"미용 프리랜서, 자유로울 거 같지만 현실은 다릅니다ㅣ쌀롱토크 ep.17 2부!",https://www.youtube.com/watch?v=XCOpQVASGPc,1775,2021-03-01,0:12:25,
75,머리자르러 왔는데... 누구세요..?!ㅣ청담동네미용실 ep.22,https://www.youtube.com/watch?v=3naWYTeGJSE,2390,2021-02-22,0:18:21,
