,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,이게..맞아?틱톡 화장품🤑인기 품절템들 리뷰(알리익스프레스/중국화장품) | 샨토끼,https://www.youtube.com/watch?v=_KqMI5koZRE,1577,2023-09-27,0:12:59,
1,[Kyoto Vlog] 교토 여행인데 술만 마시다 온..브이로그🍶/교토맛집 필수 모음.zip/교토숙소추천 |샨토끼,https://www.youtube.com/watch?v=M0cmxTK4pz8,1896,2023-09-16,0:15:55,
2,여행용 메이크업 파우치 필수템 총출동🍒👛 같이 챙겨요🤍(물갈이 피부 필수템/조식 쌩얼템 등) |샨토끼,https://www.youtube.com/watch?v=wqkz123GOQA,2392,2023-09-11,0:06:05,
3,청담동 섬유유연제 6종🧺무조건 향 오래가는 치트키까지 | 샨토끼,https://www.youtube.com/watch?v=apjF6oRkOHs,14222,2023-08-26,0:06:24,
4,"키링이..10만원?🧸1분만에 매진되는 핫한 키링들 사봄(모남희,마지셔우드,마뗑킴,코지모지,지브리파크 굿즈까지)| 샨토끼",https://www.youtube.com/watch?v=fM4f6rvu_mg,6231,2023-08-12,0:12:44,
5,-3kg 빠져보이고 얼굴 형광등 확 켜지는 티셔츠 추천(날씬해보임/가격착함/무신사/더블유컨셉) | 샨토끼,https://www.youtube.com/watch?v=pj-6_wxUEpw,6104,2023-07-26,0:07:19,
6,"제발 멈춰❌🙅🏻‍♀️20대때 이 습관들 안하면 노화 2배는 천천히옴(후회한 시술부터 피부관리,습관 ) | 샨토끼",https://www.youtube.com/watch?v=GNoDTUPs4EA,7355,2023-07-15,0:07:03,
7,염색 & 극손상모 머릿결 좋아지는법! 이거만 바꾸면 30초만에 가능?! 머릿결 홈케어 꿀팁 | 샨토끼,https://www.youtube.com/watch?v=otIhdxrjnqY,37880,2023-06-30,0:07:31,
8,"여름쿠션🌞 뭐살지 알려드림! 건성/지성/수부지 피부타입별+지속력+파데랑 비교까지!(에스쁘아,네이밍,웨이크메이크) | 샨토끼",https://www.youtube.com/watch?v=cZ6tLeUQlzU,9637,2023-06-23,0:09:42,
9,이건 사지 마세요💔 올리브영 랭킹 1위템으로만 메이크업 &내돈내산 팩폭 리뷰 | 샨토끼,https://www.youtube.com/watch?v=y55KFKMVy0A,16134,2023-06-02,0:13:59,
10,"청담샵에 꼭 있는✍🏻 화잘먹 치트키 베이스템✨( 요철/기름기 몽글몽글 채워주는 베이스,진주 물광+톤업+자차기능 하나 쓱 베이스, 피부 쫙쫙 잡아주는 여배우 베이스) | 샨토끼",https://www.youtube.com/watch?v=hVejvUN77NI,12147,2023-05-25,0:08:56,
11,급찐급빠+폭식방지👍-3kg📉입소문 뱃살 다이어트 식단 | 샨토끼,https://www.youtube.com/watch?v=JunKKB4OiPU,47894,2023-05-13,0:08:46,
12,"다크써클,점,여드름자국,주근깨❗️컨실러 추천/잘가리는법 /브러쉬 추천 (컨실러팔레트,파운데이션으로 컨실러 만들기,스틱컨실러 ) | 샨토끼",https://www.youtube.com/watch?v=g-yjEQzwonw,11779,2023-04-28,0:08:31,
13,광고❌ 아는 사람만 조용히🤫 사서 쓰는 뷰티템 추천 2탄🔥(방송 피부 필살기템/얼굴땀케어템/청담샵트리트먼트/태닝꿀템) | 샨토끼,https://www.youtube.com/watch?v=3FxF9PWdNX4,34465,2023-04-15,0:10:47,
14,넌 술 마시는데 왜 살 안 쪙?🍻 다이어트 때 술 마시는 비법 & 습관 싹 알려드림 | 샨토끼,https://www.youtube.com/watch?v=3eWWN2SxhRE,6965,2023-03-31,0:05:25,
15,부산 가기 전에 보고 가세요! 단골 부산 맛집 먹방 브이로그 (해운대 주변 맛집/휴게소부터 디저트까지 풀코스! ) |샨토끼,https://www.youtube.com/watch?v=9c-3tSRFqlg,18110,2023-03-17,0:06:39,
16,부산 2박3일 같이 짐싸요! 찐템만 가져가는 10분컷 짐싸기!  Feat. 여행 필수템 |샨토끼,https://www.youtube.com/watch?v=jDD5oBZYRRc,19532,2023-03-04,0:07:46,
17,No광고❌아는 사람들만 조용히🤫사서 쓰는 뷰티템 추천 1탄 (쿠팡구매가능/트리트먼트 까먹는 샴푸/베이스격이 달라지는 스펀지/갈색병 울다가는 세럼/하루종일 정수리상쾌템)|샨토끼,https://www.youtube.com/watch?v=ShIaWEPfC-8,80464,2023-02-18,0:09:29,
18,대체불가 애교살템✨초 자연스러운 애교살 데일리템들! 찐으로 5년 내내 이거만 씀(애교살 섀도우/펜슬/글리터/컨실러)  |샨토끼,https://www.youtube.com/watch?v=TDpvBExTiis,19289,2023-02-03,0:08:05,
19,쿠션 사기전 필수🫶🏻촉촉 쿠션🫧팩폭 리뷰&비교(롬앤/퓌/클리오/에스쁘아) | 샨토끼,https://www.youtube.com/watch?v=T87SxXGWi00,35875,2023-01-21,0:10:23,
20,바디로션+향수 꿀조합 추천🍯 향기 지속력 높여주는 마법 제품/요즘 최애향수/향기별 조합하는 방법까지💝 | 샨토끼,https://www.youtube.com/watch?v=1z7xOvovke0,14995,2023-01-07,0:08:54,
21,핫한 신상템❤️‍🔥글리터맛집&입술필러립밤 발견🎄(롬앤워터쿠션/어뮤즈 봄웜필수 팔레트/멜팅 립밤 등)|샨토끼,https://www.youtube.com/watch?v=yiux39rb3Io,15890,2022-12-23,0:11:52,
22,🎄흔한거❌ 고급진 연말/크리스마스 선물 꿀조합 best🎁10~30만원대 에르메스 선물?! | 샨토끼,https://www.youtube.com/watch?v=FkZ2JrtgMGA,11442,2022-12-09,0:09:03,
