,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,나는 100% 한국인일까?! 😨 [꿀잼실험] 유전자혈통분석 YOUWHO 리뷰 | 제씨 JESSIE,https://www.youtube.com/watch?v=DHPzcxHcMT0,2619,2020-04-20,0:08:41,
1,향기나는 방을 만들기 위한 필수템💐 스마트디퓨저 아롬 리얼후기♥️ | 제씨 JESSIE,https://www.youtube.com/watch?v=A9hnR0GW69A,1147,2020-03-19,0:09:05,
2,"넷플릭스 청불🔥추천작 BEST 7 (후방주의🙈로맨스영화, 드라마, 다큐) [꿀잼보장🍯] | 제씨 JESSIE",https://www.youtube.com/watch?v=39fpr6iiR-8,77327,2020-01-23,0:12:20,
3,"[여행VLOG] 오사카 1박2일 먹방여행 (+일본여행 안전, 혐한에 대한 생생한 정보) | 제씨 JESSIE",https://www.youtube.com/watch?v=X4ZyhQ95rWw,2138,2020-01-17,0:29:17,
4,"넷플릭스 추천작 BEST 6 설렘폭발💖(로맨스영화,미드추천) [꿀잼보장🍯] | 제씨 JESSIE",https://www.youtube.com/watch?v=KH54Jwksr98,35401,2019-12-23,0:11:08,
5,지름신강림💸 러쉬 100만원 하울 / 러쉬향수 신상 지름했어요! LUSH PERFUME HAUL | 제씨 JESSIE,https://www.youtube.com/watch?v=-5kCEQcCmjU,6500,2019-12-13,0:09:13,
6,[여행꿀팁🐝] 해외여행 & 국내여행 필수 어플 17가지 추천 ✨| 제씨 JESSIE,https://www.youtube.com/watch?v=rQe8XdsIanQ,6570,2019-12-08,0:11:19,
7,[여행VLOG] 하얼빈 먹방과 힐링 여행 (백종원 스트리트푸드파이터/라오추지아/마늘롱샤/중앙대가/중국마사지) HARBIN TRAVEL VLOG | 제씨 JESSIE,https://www.youtube.com/watch?v=rn2gKCbQFXY,693,2019-11-26,0:08:37,
8,[여행VLOG] 중국 하얼빈 먹방 여행 (그냥... 계속 먹어요...😅) HARBIN TRAVEL VLOG | 제씨 JESSIE,https://www.youtube.com/watch?v=6EHlYDVrNrc,1189,2019-11-20,0:14:34,
9,[여행꿀팁] 잘 알려지지 않은 세부여행 숨은 팁 13가지 / CEBU TRAVEL UNKNOWN 13 TIPS | 제씨 JESSIE,https://www.youtube.com/watch?v=kr1QmoSyi1I,2537,2019-11-18,0:19:42,
10,[여행TIP] 중국 하얼빈 여행준비! 🇨🇳중국비자 발급법부터 항공권 예약까지! / CHINA HARBIN TRAVEL | 제씨 JESSIE,https://www.youtube.com/watch?v=jIg0vSzFl5E,862,2019-11-07,0:06:16,
11,[펜팔영어✉️] 미국 원어민 펜팔이 알려준 실생활 영어표현 (영어회화) | 제씨 JESSIE,https://www.youtube.com/watch?v=ImQs9HsjGho,4965,2019-10-31,0:16:02,
12,[여행VLOG] 무계획으로 무작정 떠난 경주 황리단길 당일치기 혼자여행 | 제씨 JESSIE,https://www.youtube.com/watch?v=RNTMUazIoF0,1277,2019-10-02,0:09:45,
13,"[여행VLOG] 전주, 북촌 한옥마을 말고! 🇰🇷새로운 한옥마을을 가보았다 | 제씨 JESSIE",https://www.youtube.com/watch?v=8Fmcj7Z0E4Q,415,2019-09-22,0:03:23,
14,[여행영어 🛩] 가장 유용하고 자주 썼던 영어표현 10가지 | 제씨 JESSIE,https://www.youtube.com/watch?v=tUkfjhxHMtQ,11412,2019-09-20,0:08:00,
15,"[여행VLOG] 나홀로 5성급 특급호텔 호캉스 / 5-STAR HOTEL TOUR in Seoul, Korea| 제씨 JESSIE",https://www.youtube.com/watch?v=RBXOnxMBEaA,435,2019-09-11,0:08:45,
16,[여행VLOG] 무계획으로 무작정 떠난 부산 광안리 혼자여행 1박2일 / Trip to Busan / Travel | 제씨 JESSIE,https://www.youtube.com/watch?v=p04t0R5RC70,1765,2019-09-07,0:10:46,
17,[부산혼자여행🎒] 일리네어 랩퍼 도끼카페 / 팬케이크와 도끼라떼 먹방🍴Dok2 Mukbang Travel Busan| 제씨 TryThis2That,https://www.youtube.com/watch?v=Oz77Ok4qEDk,365,2019-09-05,0:08:03,
