labeling,index,youtube_id,comment,like_num,comment_date
1,0,hhvs4fq,미모의 축복이 끝이 없다 언니 이번 머리하니까 완전 갸루력 뿜뿜 근데 그게 또 넘나리 찰떡이야 ,7,3개월 전
,1,userdl1wg6gl6e,"так жаль , что нет субтитров
но вы такая очаровательная",9,3개월 전
1,2,userho4bp9ou2x,금발 진짜 찰떡.. 흑발이 최고라 생각했는데 금발도 그만큼 최고예요..,22,3개월 전
1,3,useruv1ip2hb1n,"전에 핑쿠 네일도 넘 이뿐데 새로 바뀐 네일도 시크하고 이뻐용! 갓닐라코 바비  콜라보 할때 다 샀는데 츄파춥스가 더 끌리네요 ㅜㅜ 사탕 들어있는더 존귀야  언니들(샌언니,연수언니) 덕에 제로밤 써보게 됐는데 피부 속 까지 화장품 녹여주는 느낌!! 사길 너무 잘한 제품 ㅎㅎ  안 끈적 거리고 넘 좋아요  진심 내돈내산 제로밤",0,3개월 전
1,4,userft7nt7jp3p,오늘도 예쁜 샌언니  바닐라코 클렌징 다들 극찬하길래 궁금했는데 한번 써봐야겠어요 ! 저도 네일 없이 못사는인간이라 아트 저렇게 찾는데 !! 키티 네일 진짜 귀여웠구 요번 네일은 너무 깔끔하면서도 튀어서 예뻐요 손민수할래여 ,1,3개월 전
1,5,eeunjae5776,같은 P로써 너무 공감하면서 봤습니당ㅋㅋㅋㅋㅋㅋ,2,3개월 전
1,6,userje9lx6dg5w,ㅋㅋㅋㅋㅋㅋ샌언니!! 꿀팁 아닌 꿀팁인데 에바치온 진짜 저의 새내기시절 제 간을 지켜준.. 최고의 숙취해소제였슴다 나중에 술 드시는 날 한 번 드셔보세용 아주 말끔한 다음날이 시작됩니다?,2,3개월 전
1,7,lj2132,샌언니 뷰티데이 영상 젤 좋아유  바닐라코 핑크 패드 사봐야겠어요  핑크색 넘나 신기,1,3개월 전
1,8,userrk5xe8di9e,근데 짇짜 바닐라코 클밤 ㄹㅇ 좋은거 인정이에요 4번 짼가 재구매 드랙퀸들도 이걸로 화장 지움요 ㄷㄷ ㅋㅋㅋㅋㅋ,2,3개월 전
,9,tokkijia,Saeeun we need English subtitles please! ,2,3개월 전
1,10,mmody7566,"이번영상 넘 조아요.. 원하던 컨텐츠고 음향도 빠방하고..!
저번엔 울림이 많아서 잘 안들렸는데 이번엔 잘들려옹",0,3개월 전
