,youtube_id,comment,like_num,comment_date
0,haruscalp,"요정 같은 아두찌님 하루두피 방문 너무 감사드립니다 :^)
두피 문제 뿐 아니라 이색 데이트 혹은
부모님/연인/지인에게 소중한 선물로도 최고랍니다 ! 
편안하고 늘 일상 속 힐링 공간 '하루두피' 많은 애정부탁드려요~ !",0.0,1개월 전
1,userjv7jy7vv7u,하루두피 두피관리 진짜 좋긴하죠 우연히 떠서 잘보고갑니다. ㅎ,1.0,1개월 전
