,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,워터파크 가서도 입술에 딱 붙어있는 틴트?!(ʚ̴̶̷̆ˬʚ̴̶̷̆) 어디지 진짜…👀 | 파우더룸(POWDERROOM),https://www.youtube.com/watch?v=g2xUCxpAFiY,8962,2023-07-23,0:11:18,266
1,"품절 대란 났다는 녹두팩, 진짜 좋아요? 💚 올리브영 세일 때 꼭 사야 하는 비플레인 기초 제품.zip | 파우더룸(POWDERROOM)",https://www.youtube.com/watch?v=zdvICVwxsFA,36367,2023-02-05,0:09:49,69
2,비플레인 폼 미쳤다! 겨울 보습 끝장내는 기초템은? 🫧 | 파우더룸(POWDERROOM),https://www.youtube.com/watch?v=Lpc2KBrhgKg,34027,2023-01-29,0:12:33,205
3,"라뮤끄 찐친 뷰튜버도 반한 피부 표현력 갑 베이스(feat. 씬님, 곽토리) | 파우더룸(POWDERROOM)",https://www.youtube.com/watch?v=6cKGO59Mp4U,11408,2022-12-04,0:08:16,224
4,이거 없으면 외출 안 해요 (단호) 뮤트 시장 끝장내러 온 에크멀의 꿀템⁉️ | 파우더룸(POWDERROOM),https://www.youtube.com/watch?v=z3fwppczIhI,77523,2022-11-27,0:11:57,1512
5,"아이돌 속눈썹 이거 하나면 완벽 그 잡채💃 마스카라 정착할 준비 됐어?👀 아이돌 속눈썹, 웜톤, 쿨톤 섀도우 팔레트, 가을 벨벳립 | 파우더룸(POWDERROOM)",https://www.youtube.com/watch?v=ByBrQdpLNoc,11693,2022-11-06,0:10:45,274
6,피부과 왜 가요?! 이거 하나면 홈케어 가능한데😎(feat. 세럼 레이어드 방법) | 파우더룸(POWDERROOM),https://www.youtube.com/watch?v=nwS02a8vkw0,29924,2022-08-21,0:07:43,531
7,"아이돌 담당쌤 피셜 무대 전 필수인 베이스⁉️ 올영 1위 클렌징오일, 결 케어 꿀조합, 뷰튜버 추천템 | 파우더룸(POWDERROOM)",https://www.youtube.com/watch?v=UNuWA_X_Mx4,42263,2022-08-14,0:11:23,491
