,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
3,청담동 섬유유연제 6종🧺무조건 향 오래가는 치트키까지 | 샨토끼,https://www.youtube.com/watch?v=apjF6oRkOHs,14427,2023-08-26,0:06:24,294
4,"키링이..10만원?🧸1분만에 매진되는 핫한 키링들 사봄(모남희,마지셔우드,마뗑킴,코지모지,지브리파크 굿즈까지)| 샨토끼",https://www.youtube.com/watch?v=fM4f6rvu_mg,6256,2023-08-12,0:12:44,110
5,-3kg 빠져보이고 얼굴 형광등 확 켜지는 티셔츠 추천(날씬해보임/가격착함/무신사/더블유컨셉) | 샨토끼,https://www.youtube.com/watch?v=pj-6_wxUEpw,6110,2023-07-26,0:07:19,128
6,"제발 멈춰❌🙅🏻‍♀️20대때 이 습관들 안하면 노화 2배는 천천히옴(후회한 시술부터 피부관리,습관 ) | 샨토끼",https://www.youtube.com/watch?v=GNoDTUPs4EA,7358,2023-07-15,0:07:03,210
7,염색 & 극손상모 머릿결 좋아지는법! 이거만 바꾸면 30초만에 가능?! 머릿결 홈케어 꿀팁 | 샨토끼,https://www.youtube.com/watch?v=otIhdxrjnqY,37886,2023-06-30,0:07:31,75
8,"여름쿠션🌞 뭐살지 알려드림! 건성/지성/수부지 피부타입별+지속력+파데랑 비교까지!(에스쁘아,네이밍,웨이크메이크) | 샨토끼",https://www.youtube.com/watch?v=cZ6tLeUQlzU,9646,2023-06-23,0:09:42,131
9,이건 사지 마세요💔 올리브영 랭킹 1위템으로만 메이크업 &내돈내산 팩폭 리뷰 | 샨토끼,https://www.youtube.com/watch?v=y55KFKMVy0A,16140,2023-06-02,0:13:59,251
10,"청담샵에 꼭 있는✍🏻 화잘먹 치트키 베이스템✨( 요철/기름기 몽글몽글 채워주는 베이스,진주 물광+톤업+자차기능 하나 쓱 베이스, 피부 쫙쫙 잡아주는 여배우 베이스) | 샨토끼",https://www.youtube.com/watch?v=hVejvUN77NI,12234,2023-05-25,0:08:56,260
11,급찐급빠+폭식방지👍-3kg📉입소문 뱃살 다이어트 식단 | 샨토끼,https://www.youtube.com/watch?v=JunKKB4OiPU,47909,2023-05-13,0:08:46,255
12,"다크써클,점,여드름자국,주근깨❗️컨실러 추천/잘가리는법 /브러쉬 추천 (컨실러팔레트,파운데이션으로 컨실러 만들기,스틱컨실러 ) | 샨토끼",https://www.youtube.com/watch?v=g-yjEQzwonw,11800,2023-04-28,0:08:31,211
