,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
0,ENG)다이아보다 반짝이는 모이사나이트로 플렉스네일!,https://www.youtube.com/watch?v=anqsFd77LxM,13885,2022-10-19,0:11:56,542
1,"ENG) 세상의 모든 스톤 네일 반짝반짝 | nails tutorial, self nails, jewels nails",https://www.youtube.com/watch?v=kqkZayh4Hfw,22877,2022-10-12,0:08:41,895
2,ENG) 한가지 컬러로 만드는 트위드네일 | one color tweed nails/,https://www.youtube.com/watch?v=9-voQAdBP8M,21700,2022-10-05,0:11:29,1113
3,"ENG)단풍을 내손안에~~ | Autumn Leaves Nails, 3Dgel, Nails Tutorial, Self Nails",https://www.youtube.com/watch?v=yHxfRMAmyso,147097,2022-09-28,0:10:05,10354
4,"ENG) 얼음결정체네일 | nails tutorial, ice nails, diamond nail",https://www.youtube.com/watch?v=cBaxYdbD2Ow,223391,2022-09-21,0:12:19,9060
5,"ENG) 무광유광 그라데이션이 가능하다고?! | matte nails, syrup gradation nails, latte nails, clear nails",https://www.youtube.com/watch?v=B0R0SnajpCQ,68657,2022-09-14,0:11:04,3362
6,"ENG) 오팔네일! 너무예쁨주의 | Opal nails, nails tutorial, geode nails",https://www.youtube.com/watch?v=fUrOb1rIvLc,214274,2022-09-07,0:13:13,9170
7,"ENG) 파우더네일 완성판! 매끈짱짱한 파우더네일하기~ | Powder nails, nails tutorial, self nails",https://www.youtube.com/watch?v=ETOec1neDDo,27559,2022-08-31,0:11:18,1191
8,"ENG) 블랙핑크도 했다는 한국식 자개네일 | nails tutorial, korean nails, mother-of-pearl, black pink nail, pink venom",https://www.youtube.com/watch?v=H_y7I3qJhKA,48392,2022-08-24,0:11:52,2856
9,"ENG) 리얼한 송치네일! 호피맛집 극찐이네 | leopard nails, nail tutorial, cowhide, texture nails",https://www.youtube.com/watch?v=PILCDdexmv8,21340,2022-08-17,0:09:34,928
10,"ENG)낙서잘해? 그럼 들어와~ASMR | nail tutorial, scribble nails, doodle nail, 셀프네일, 크레파스네일, crayon nail",https://www.youtube.com/watch?v=RMU6USO9iNY,181624,2022-08-11,0:12:04,10287
11,"ENG)일렁일렁 물결네일 ASMR | Wave nails, Nails Tutorial",https://www.youtube.com/watch?v=168Hz1dkBgc,18788,2022-08-04,0:12:29,806
